ano;mes;secretaria;regime_subgrupo;folha_total;num_registros;num_matriculas;percentual_na_secretaria
2022;4;Secretaria de Serviços Públicos e Obras;comissionados;90731.51000000001;7;7;9.24
2022;4;Secretaria de Serviços Públicos e Obras;flexiveis;1084.8;1;1;0.11
2022;4;Secretaria de Urbanismo e Licenciamento;efetivos;808706.86;124;111;73.2
2022;4;Secretaria de Urbanismo e Licenciamento;funcao_confianca;219478.24;25;22;19.87
2022;4;Secretaria de Urbanismo e Licenciamento;comissionados;54174.66;4;4;4.9
2022;4;Secretaria de Urbanismo e Licenciamento;flexiveis;22419.2;21;21;2.03
2022;4;Secretaria do Meio Ambiente, Parques e Jardins;efetivos;426940.15;60;54;67.96
2022;4;Secretaria do Meio Ambiente, Parques e Jardins;funcao_confianca;162700.27;20;17;25.9
2022;4;Secretaria do Meio Ambiente, Parques e Jardins;comissionados;26695.059999999998;2;2;4.25
2022;4;Secretaria do Meio Ambiente, Parques e Jardins;flexiveis;11932.8;12;12;1.9
2022;5;Inativos e Pensionistas (Encargos);inativos;1161974.75;287;287;100.0
2022;5;Secretaria da Cidadania;efetivos;743936.19;137;124;50.9
2022;5;Secretaria da Cidadania;funcao_confianca;477471.18;57;49;32.67
2022;5;Secretaria da Cidadania;flexiveis;173809.00999999998;35;31;11.89
2022;5;Secretaria da Cidadania;comissionados;66360.28;5;5;4.54
2022;5;Secretaria da Educação;efetivos;29036036.76;4863;4780;90.22
2022;5;Secretaria da Educação;flexiveis;2673271.53;2345;2246;8.31
2022;5;Secretaria da Educação;funcao_confianca;447182.4;49;39;1.39
2022;5;Secretaria da Educação;comissionados;27772.48;2;2;0.09
2022;5;Secretaria da Fazenda;efetivos;1188382.12;160;134;73.84
2022;5;Secretaria da Fazenda;funcao_confianca;403733.73;45;39;25.08
2022;5;Secretaria da Fazenda;flexiveis;17356.8;18;18;1.08
2022;5;Secretaria da Habitação e Regularização Fundiária;efetivos;178314.38;17;15;61.82
2022;5;Secretaria da Habitação e Regularização Fundiária;funcao_confianca;83817.78;11;9;29.06
2022;5;Secretaria da Habitação e Regularização Fundiária;comissionados;17617.8;1;1;6.11
2022;5;Secretaria da Habitação e Regularização Fundiária;flexiveis;8678.4;8;8;3.01
2022;5;Secretaria da Saúde;efetivos;20526241.07;2313;2093;84.94
2022;5;Secretaria da Saúde;funcao_confianca;2305400.7;175;150;9.54
2022;5;Secretaria da Saúde;flexiveis;1212152.91;106;105;5.02
2022;5;Secretaria da Saúde;comissionados;121700.12;6;6;0.5
2022;5;Secretaria de Administração;efetivos;1003321.75;170;143;63.17
2022;5;Secretaria de Administração;funcao_confianca;486671.19;58;52;30.64
2022;5;Secretaria de Administração;comissionados;69464.77;5;5;4.37
2022;5;Secretaria de Administração;flexiveis;28924.0;28;27;1.82
2022;5;Secretaria de Assuntos Jurídicos e Patrimônio;efetivos;1276570.03;116;103;76.93
2022;5;Secretaria de Assuntos Jurídicos e Patrimônio;funcao_confianca;310990.59;32;30;18.74
2022;5;Secretaria de Assuntos Jurídicos e Patrimônio;comissionados;46941.5;3;3;2.83
2022;5;Secretaria de Assuntos Jurídicos e Patrimônio;flexiveis;24919.04;25;25;1.5
2022;5;Secretaria de Comunicação;funcao_confianca;150354.21;15;12;55.9
