tipo,local_canonico,sigla_secretaria,secretaria,efetivo,folha_total,folha_media,ticket_medio
UBS,UBS Sorocaba,SES,Secretaria da Saúde,44,454514.72,10329.88,10329.88
UBS,UBS Paineiras,SES,Secretaria da Saúde,41,407743.78,9944.97,9944.97
UBS,UBS Lopes de Oliveira,SES,Secretaria da Saúde,41,347337.29,8471.64,8471.64
UBS,UBS Cajuru,SES,Secretaria da Saúde,40,428545.59,10713.64,10713.64
UBS,UBS Mineirao,SES,Secretaria da Saúde,40,430728.13,10768.2,10768.2
UBS,UBS Haro,SES,Secretaria da Saúde,40,431058.89,10776.47,10776.47
UBS,UBS Cerrado,SES,Secretaria da Saúde,40,434531.49,10863.29,10863.29
UBS,UBS Nova Esperanca,SES,Secretaria da Saúde,40,362635.52,9065.89,9065.89
UBS,UBS Habiteto,SES,Secretaria da Saúde,39,356481.77,9140.56,9140.56
UBS,UBS Simus,SES,Secretaria da Saúde,38,411144.11,10819.58,10819.58
UBS,UBS Hortencia,SES,Secretaria da Saúde,38,449959.26,11841.03,11841.03
UBS,UBS Nova Sorocaba,SES,Secretaria da Saúde,36,381609.67,10600.27,10600.27
UBS,UBS Maria do Carmo,SES,Secretaria da Saúde,35,353238.02,10092.51,10092.51
UBS,UBS Sabia,SES,Secretaria da Saúde,35,457764.5,13078.99,13078.99
UBS,UBS Caranda,SES,Secretaria da Saúde,35,321029.68,9172.28,9172.28
UBS,UBS Maria Eugenia,SES,Secretaria da Saúde,33,274789.64,8326.96,8326.96
UBS,UBS Barcelona,SES,Secretaria da Saúde,32,371066.83,11595.84,11595.84
UBS,UBS Angelica,SES,Secretaria da Saúde,31,388382.77,12528.48,12528.48
UBS,UBS Santana,SES,Secretaria da Saúde,31,333850.08,10769.36,10769.36
