ano;mes;secretaria;efetivo
2023;11;Secretaria de Esportes e Lazer;84
2023;11;Secretaria de Gabinete Central;76
2023;11;Secretaria de Cultura;66
2023;11;Secretaria da Habitação e Regularização Fundiária;37
2023;11;Secretaria de Comunicação;28
2023;11;Secretaria de Mobilidade;24
2023;11;Secretaria de Relações Institucionais e Metropolitanas;10
2023;12;Secretaria da Educação;7629
2023;12;Secretaria da Saúde;2411
2023;12;Secretaria de Segurança Urbana;371
2023;12;Secretaria de Administração;277
2023;12;Secretaria da Cidadania;269
2023;12;Secretaria de Planejamento e Desenvolvimento Urbano;189
2023;12;Secretaria da Fazenda;173
2023;12;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;167
2023;12;Chefia do Poder Executivo;165
2023;12;Secretaria de Serviços Públicos e Obras;135
2023;12;Secretaria de Governo;128
2023;12;Secretaria de Assuntos Jurídicos e Patrimônio;120
2023;12;Secretaria de Recursos Humanos;119
2023;12;Secretaria do Meio Ambiente, Parques e Jardins;108
2023;12;Secretaria de Esportes e Lazer;84
2023;12;Secretaria de Gabinete Central;77
2023;12;Secretaria de Cultura;68
2023;12;Secretaria da Habitação e Regularização Fundiária;37
2023;12;Secretaria de Comunicação;28
2023;12;Secretaria de Mobilidade;26
2023;12;Secretaria de Relações Institucionais e Metropolitanas;10
2024;1;Secretaria da Educação;6942
2024;1;Secretaria da Saúde;2382
2024;1;Secretaria de Segurança Urbana;368
2024;1;Secretaria da Cidadania;285
2024;1;Secretaria de Administração;272
2024;1;Inativos e Pensionistas (Encargos);245
2024;1;Secretaria de Planejamento e Desenvolvimento Urbano;186
2024;1;Secretaria da Fazenda;173
2024;1;Secretaria do Meio Ambiente, Parques e Jardins;140
2024;1;Secretaria de Serviços Públicos e Obras;135
2024;1;Secretaria de Governo;127
2024;1;Secretaria de Recursos Humanos;122
2024;1;Secretaria de Assuntos Jurídicos e Patrimônio;119
2024;1;Secretaria de Esportes e Lazer;83
2024;1;Secretaria de Gabinete Central;77
2024;1;Secretaria de Cultura;66
2024;1;Secretaria da Habitação e Regularização Fundiária;39
2024;1;Secretaria de Mobilidade;28
2024;1;Secretaria de Comunicação;26
2024;1;Secretaria de Relações do Trabalho e Qualificação Profissional;26
2024;1;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;21
2024;1;Secretaria de Relações Institucionais e Metropolitanas;10
2024;1;Chefia do Poder Executivo;1
2024;2;Secretaria da Educação;5933
2024;2;Secretaria da Saúde;2514
2024;2;Secretaria de Segurança Urbana;369
2024;2;Secretaria da Cidadania;272
2024;2;Secretaria de Administração;269
2024;2;Inativos e Pensionistas (Encargos);248
2024;2;Secretaria de Planejamento e Desenvolvimento Urbano;186
2024;2;Secretaria da Fazenda;169
2024;2;Secretaria de Serviços Públicos e Obras;137
2024;2;Secretaria de Governo;128
2024;2;Secretaria do Meio Ambiente, Parques e Jardins;120
2024;2;Secretaria de Assuntos Jurídicos e Patrimônio;118
2024;2;Secretaria de Recursos Humanos;118
2024;2;Secretaria de Esportes e Lazer;78
2024;2;Secretaria de Gabinete Central;76
2024;2;Secretaria de Cultura;65
2024;2;Secretaria de Relações do Trabalho e Qualificação Profissional;39
2024;2;Secretaria da Habitação e Regularização Fundiária;36
2024;2;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;34
2024;2;Secretaria de Comunicação;31
2024;2;Secretaria de Mobilidade;28
2024;2;Secretaria de Relações Institucionais e Metropolitanas;9
2024;3;Secretaria da Educação;7217
2024;3;Secretaria da Saúde;2587
2024;3;Secretaria de Segurança Urbana;368
2024;3;Secretaria de Administração;279
2024;3;Secretaria da Cidadania;271
2024;3;Inativos e Pensionistas (Encargos);247
2024;3;Secretaria de Planejamento e Desenvolvimento Urbano;190
2024;3;Secretaria da Fazenda;167
2024;3;Secretaria de Serviços Públicos e Obras;137
2024;3;Secretaria de Governo;130
2024;3;Secretaria do Meio Ambiente, Parques e Jardins;130
2024;3;Secretaria de Recursos Humanos;120
2024;3;Secretaria de Assuntos Jurídicos e Patrimônio;118
2024;3;Secretaria de Esportes e Lazer;81
2024;3;Secretaria de Gabinete Central;74
2024;3;Secretaria de Cultura;64
2024;3;Secretaria de Relações do Trabalho e Qualificação Profissional;39
2024;3;Secretaria da Habitação e Regularização Fundiária;37
2024;3;Secretaria de Comunicação;31
2024;3;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;31
2024;3;Secretaria de Mobilidade;30
2024;3;Secretaria de Relações Institucionais e Metropolitanas;9
2024;4;Secretaria da Educação;7757
2024;4;Secretaria da Saúde;2607
2024;4;Secretaria de Segurança Urbana;371
2024;4;Secretaria de Administração;289
2024;4;Secretaria da Cidadania;280
2024;4;Inativos e Pensionistas (Encargos);246
2024;4;Secretaria de Planejamento e Desenvolvimento Urbano;195
2024;4;Secretaria da Fazenda;167
2024;4;Secretaria de Governo;141
2024;4;Secretaria de Serviços Públicos e Obras;140
2024;4;Secretaria do Meio Ambiente, Parques e Jardins;135
2024;4;Secretaria de Recursos Humanos;125
2024;4;Secretaria de Assuntos Jurídicos e Patrimônio;121
2024;4;Secretaria de Esportes e Lazer;86
2024;4;Secretaria de Gabinete Central;82
2024;4;Secretaria de Cultura;68
2024;4;Secretaria da Habitação e Regularização Fundiária;42
2024;4;Secretaria de Relações do Trabalho e Qualificação Profissional;41
2024;4;Secretaria de Comunicação;36
2024;4;Secretaria de Mobilidade;34
2024;4;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;32
2024;4;Secretaria de Relações Institucionais e Metropolitanas;15
2024;5;Secretaria da Educação;7943
