ano;mes;secretaria;folha_total;folha_liquida;num_registros;num_matriculas;ticket_medio
2022;2;Secretaria de Serviços Públicos e Obras;957978.21;601100.92;169;145;6606.75
2022;2;Secretaria de Governo;689760.59;490055.03;75;64;10777.51
2022;2;Secretaria de Esportes e Lazer;610314.38;400850.76;91;69;8845.14
2022;2;Secretaria de Gabinete Central;574770.8099999999;352988.23;82;56;10263.76
2022;2;Secretaria do Meio Ambiente, Parques e Jardins;532813.23;335909.4;95;80;6660.17
2022;2;Secretaria de Recursos Humanos;528015.42;343704.76;95;83;6361.63
2022;2;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;486475.3;307131.16;82;68;7154.05
2022;2;Secretaria de Cultura;327589.38;211790.14;81;73;4487.53
2022;2;Secretaria de Comunicação;219573.33000000002;143936.63;36;28;7841.9
2022;2;Secretaria da Habitação e Regularização Fundiária;192739.81;123852.12;34;31;6217.41
2022;2;Secretaria de Mobilidade;153093.82;94868.39;14;13;11776.45
